Query	Average	Adjusted average	Standard Deviation	Returned rows
select * from test.country	0.0086534000	0.0084475000	0.00009863696061821857	2500
select * from test.department	0.0421386000	0.0418897500	0.00009618049438425653	10000
select * from test.employee	0.0451516000	0.0447657500	0.00039129552450801173	10000
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id	0.1567754000	0.1562745000	0.0012518858773865932	10000
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id join test.country on test.country.country_id = test.location.country_id where test.country.country_id < 500	0.7438104000	0.7211192500	0.011402588573981787	5634
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id join test.country on test.country.country_id = test.location.country_id where test.country.country_id > 500	0.5423934000	0.5383782500	0.003210576690798711	4356
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id join test.country on test.country.country_id = test.location.country_id where test.country.country_name < 500	0.7254044000	0.7207155000	0.01845518572786522	5551
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id join test.country on test.country.country_id = test.location.country_id where test.country.country_name > 500	0.5681824000	0.5642867500	0.0044214471259419125	4447
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id join test.country on test.country.country_id = test.location.country_id where test.country.country_name between 100 and 1000	1.0950000000	1.0835697500	0.021619664444377948	8776
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_id < 10	0.0022960000	0.0021852500	0.00003709026152509577	16
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_id > 10	0.2664868000	0.2516392500	0.0019729984002781146	9981
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_name <10	0.0149610000	0.0147165000	0.000048251942966060964	2
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_name <4900	1.1638368000	1.1554970000	0.0066438810194042455	10000
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_name >10	1.1659014000	1.1480805000	0.003916275047797332	9998
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_name >4900	0.0146032000	0.0144635000	0.00006348425001525969	0
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id join test.location on test.location.location_id = test.department.dept_location_id where test.location.location_name between 50 and 1500	0.9305876000	0.9287397500	0.007434688607298896	8062
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_location_id < 15000	0.1583390000	0.1579512500	0.001199589174467659	10000
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_location_id > 1500	0.1483314000	0.1477975000	0.0014561961578029247	7022
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_location_id between 1500 and 15000	0.1498716000	0.1486030000	0.0029635369915018777	7023
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_name <1500	0.3204018000	0.3179432500	0.0020350500454534284	3981
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_name >1500	0.4547830000	0.4505292500	0.0028307074535352463	6017
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.department.dept_name between 500 and 2500	0.4786802000	0.4762960000	0.003066707599364504	6251
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.employee.department_id < 1500	0.1819296000	0.1710992500	0.001485611721648695	3966
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.employee.department_id > 1500	0.1109220000	0.1086447500	0.0007888730490389439	6030
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.employee.department_id between 500 and 2500	0.2635880000	0.2584555000	0.0036592433985729892	6313
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.employee.gender = 0	0.1374890000	0.1361522500	0.0013095496124622388	8055
select * from test.employee join test.department on test.department.dept_id = test.employee.department_id where test.employee.gender = 1	0.0571670000	0.0569277500	0.00019412801832811253	1945
select * from test.location	0.0190344000	0.0188357500	0.00006414582995020019	5000
